BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,LAND SQUARE FEET,YEAR BUILT,LOT,SALE PRICE
Manhattan,5,0,6440.0,1633.0,1900,6,6625000.0
Manhattan,10,0,6794.0,2272.0,1913,21,3936272.0
Manhattan,6,0,4615.0,2369.0,1900,55,8000000.0
Manhattan,8,0,4226.0,1750.0,1920,32,3192840.0
Manhattan,24,0,18523.0,4489.0,1920,153,16232000.0
Manhattan,10,0,12350.0,3717.0,2009,21,10350000.0
Manhattan,0,0,,,1920,40,1.0
Manhattan,0,0,,,1920,40,499000.0
Manhattan,0,0,,,1920,40,10.0
Manhattan,0,0,,,1920,40,529500.0
Manhattan,0,0,,,1920,40,423000.0
Manhattan,0,0,,,1925,46,501000.0
Manhattan,0,0,,,1920,49,450000.0
Manhattan,0,0,,,1920,49,510000.0
Manhattan,0,0,,,1902,30,350000.0
Manhattan,24,0,16776.0,4131.0,1928,14,11900000.0
Manhattan,0,0,,,1928,14,11900000.0
Manhattan,0,0,,,1928,16,350000.0
Manhattan,0,0,,,1928,16,404000.0
Manhattan,0,0,,,1910,19,535000.0
Manhattan,0,0,,,1920,54,1400000.0
Manhattan,0,0,,,1900,60,866000.0
Manhattan,0,0,,,1930,15,355000.0
Manhattan,0,0,,,1900,21,805000.0
Manhattan,0,0,,,1910,49,475000.0
Manhattan,0,0,,,1920,50,450000.0
Manhattan,0,0,,,1920,50,450000.0
Manhattan,0,0,,,1935,55,810000.0
Manhattan,0,0,,,1910,14,300000.0
Manhattan,0,0,,,1910,14,300000.0
Manhattan,0,0,,,1910,48,579000.0
Manhattan,0,0,,,1900,57,1500000.0
Manhattan,0,0,,,1900,39,25000.0
Manhattan,0,0,,,1937,52,512000.0
Manhattan,0,0,,,1937,52,410000.0
Manhattan,0,0,,,1937,52,500000.0
Manhattan,0,0,,,1937,52,510000.0
Manhattan,0,0,,,1920,20,475000.0
Manhattan,0,0,,,1920,20,789019.0
Manhattan,0,0,,,1920,20,425000.0
Manhattan,0,0,,,1920,20,490000.0
Manhattan,0,0,,,1915,25,409000.0
Manhattan,0,0,,,1915,25,415000.0
Manhattan,0,0,,,1950,58,420000.0
Manhattan,0,0,,,1950,58,435000.0
Manhattan,0,0,,,1937,45,575000.0
Manhattan,0,0,,,1937,45,605000.0
Manhattan,0,0,,,1900,12,799000.0
Manhattan,0,0,,,1900,12,800000.0
Manhattan,0,0,,,1900,50,54993.0
Manhattan,0,0,,,1929,57,410000.0
Manhattan,0,0,,,1900,47,1475000.0
Manhattan,0,0,,,1929,10,335000.0
Manhattan,0,0,,,1920,21,490000.0
Manhattan,0,0,,,1928,26,750000.0
Manhattan,0,0,,,1900,27,780000.0
Manhattan,0,0,,,1925,57,2400000.0
Manhattan,0,0,,,1910,51,380000.0
Manhattan,0,0,,,1901,50,430000.0
Manhattan,0,0,,,1920,45,499900.0
Manhattan,0,0,,,1940,36,1400000.0
Manhattan,0,0,,,1900,58,694000.0
Manhattan,47,0,36472.0,,2005,1102,28000000.0
Manhattan,0,0,,,0,1602,8058923.0
Manhattan,132,0,,33650.0,1989,1301,52625000.0
Manhattan,1,0,,,0,1002,620000.0
Manhattan,1,0,,,1920,1003,762669.0
Manhattan,1,0,,,1920,1004,772851.0
Manhattan,1,0,,,1920,1005,1034880.0
Manhattan,1,0,,,1920,1009,800000.0
Manhattan,1,0,,,1920,1011,2295759.0
Manhattan,1,0,,,0,1004,875000.0
Manhattan,1,0,,,2014,1008,701341.0
Manhattan,1,0,,,2014,1013,753421.0
Manhattan,1,0,,,2014,1017,771980.0
Manhattan,1,0,,,2014,1026,1247356.0
Manhattan,1,0,,,2005,1222,2150000.0
Manhattan,1,0,,,0,1009,550000.0
Manhattan,1,0,,,0,1014,1085000.0
Manhattan,1,0,,,2005,1113,910000.0
Manhattan,1,0,,,1910,1507,910000.0
Manhattan,1,0,,,1910,1510,730000.0
Manhattan,1,0,,,1910,1513,725000.0
Manhattan,1,0,,,1910,1531,1300000.0
Manhattan,1,0,,,1910,1536,770000.0
Manhattan,1,0,,,2008,1012,1750000.0
Manhattan,1,0,,,0,1018,1150000.0
Manhattan,1,0,,,0,1104,2085000.0
Manhattan,1,0,,,2014,1302,1680112.0
Manhattan,1,0,,,2014,1303,1150000.0
Manhattan,1,0,,,2014,1304,1308451.0
Manhattan,1,0,,,2014,1305,1863397.0
Manhattan,1,0,,,2014,1306,1603743.0
Manhattan,1,0,,,2014,1307,1781937.0
Manhattan,1,0,,,2014,1308,1245000.0
Manhattan,1,0,,,2014,1309,1200000.0
Manhattan,1,0,,,2014,1310,1900000.0
Manhattan,1,0,,,2014,1311,1150000.0
Manhattan,1,0,,,2014,1312,1800000.0
Manhattan,1,0,,,2014,1313,1318633.0
